rel_path,file,size_bytes,frames_sampled,mean_diff,max_diff,motion_fraction,classification,scan_seconds,error
1\2026-07-28T05-15-01.mp4,C:\Users\Parteek\Desktop\test\1\2026-07-28T05-15-01.mp4,22464568,1798,0.0898813609101589,0.3852083333333333,0.0,no_motion,50.14,
1\2026-07-28T05-30-00.mp4,C:\Users\Parteek\Desktop\test\1\2026-07-28T05-30-00.mp4,22485038,1802,0.08934403726324881,0.3359722222222222,0.0,no_motion,50.06,
1\2026-07-28T05-45-01.mp4,C:\Users\Parteek\Desktop\test\1\2026-07-28T05-45-01.mp4,22411477,1798,0.09029141934087677,0.35618055555555556,0.0,no_motion,50.11,
1\2026-07-28T06-00-00.mp4,C:\Users\Parteek\Desktop\test\1\2026-07-28T06-00-00.mp4,22656181,1802,0.0973382842865075,0.48986111111111114,0.0,no_motion,45.17,
2\2026-07-28T05-15-01.mp4,C:\Users\Parteek\Desktop\test\2\2026-07-28T05-15-01.mp4,22464568,1798,0.0898813609101589,0.3852083333333333,0.0,no_motion,45.13,
2\2026-07-28T05-30-00.mp4,C:\Users\Parteek\Desktop\test\2\2026-07-28T05-30-00.mp4,22485038,1802,0.08934403726324881,0.3359722222222222,0.0,no_motion,45.14,
2\2026-07-28T05-45-01.mp4,C:\Users\Parteek\Desktop\test\2\2026-07-28T05-45-01.mp4,22411477,1798,0.09029141934087677,0.35618055555555556,0.0,no_motion,30.39,
2\2026-07-28T06-00-00.mp4,C:\Users\Parteek\Desktop\test\2\2026-07-28T06-00-00.mp4,22656181,1802,0.0973382842865075,0.48986111111111114,0.0,no_motion,30.38,
